CO_CODE,CTU_NAME,SUMLEV,YEAR,DATASOURCE,DATASOURCE_DESC,SUBJECT_AREA,SUBJECT_AREA_DESC,SUBJECT_LEVEL,SUBJECT_LEVEL_DESC,DENOMINATOR_LEVEL_DESC,MEASURE,DENOMINATOR
3,Anoka County,50,2011,ACS 2007-2011,American Community Survey 5Yr Summary File 2007-2011,POPEDULEV,Highest Level of Education Attained,BACHELORS,Bachelor degree,Population 25 years and over,39694,216255
3,Anoka County,50,2011,ACS 2007-2011,American Community Survey 5Yr Summary File 2007-2011,POPEDULEV,Highest Level of Education Attained,GRADPROF,Graduate/professional degree,Population 25 years and over,16153,216255
3,Anoka County,50,2012,ACS 2010-2012,American Community Survey 3Yr Summary File 2010-2012,POPEDULEV,Highest Level of Education Attained,LESSHS,Did not graduate high school,Population 25 years and over,14059,221474
3,Anoka County,50,2012,ACS 2010-2012,American Community Survey 3Yr Summary File 2010-2012,POPEDULEV,Highest Level of Education Attained,HIGHSCHOOL,High school graduate,Population 25 years and over,66122,221474
3,Anoka County,50,2012,ACS 2010-2012,American Community Survey 3Yr Summary File 2010-2012,POPEDULEV,Highest Level of Education Attained,SOMECOLLEGE,"Some college, no degree",Population 25 years and over,56870,221474
3,Anoka County,50,2012,ACS 2010-2012,American Community Survey 3Yr Summary File 2010-2012,POPEDULEV,Highest Level of Education Attained,ASSOCIATE,Associate degree,Population 25 years and over,25746,221474
3,Anoka County,50,2012,ACS 2010-2012,American Community Survey 3Yr Summary File 2010-2012,POPEDULEV,Highest Level of Education Attained,BACHELORS,Bachelor degree,Population 25 years and over,41768,221474
3,Anoka County,50,2012,ACS 2010-2012,American Community Survey 3Yr Summary File 2010-2012,POPEDULEV,Highest Level of Education Attained,GRADPROF,Graduate/professional degree,Population 25 years and over,16909,221474
3,Anoka County,50,2012,ACS 2008-2012,American Community Survey 5Yr Summary File 2008-2012,POPEDULEV,Highest Level of Education Attained,LESSHS,Did not graduate high school,Population 25 years and over,14643,218748
3,Anoka County,50,2012,ACS 2008-2012,American Community Survey 5Yr Summary File 2008-2012,POPEDULEV,Highest Level of Education Attained,HIGHSCHOOL,High school graduate,Population 25 years and over,65478,218748
3,Anoka County,50,2012,ACS 2008-2012,American Community Survey 5Yr Summary File 2008-2012,POPEDULEV,Highest Level of Education Attained,SOMECOLLEGE,"Some college, no degree",Population 25 years and over,56295,218748
3,Anoka County,50,2012,ACS 2008-2012,American Community Survey 5Yr Summary File 2008-2012,POPEDULEV,Highest Level of Education Attained,ASSOCIATE,Associate degree,Population 25 years and over,25106,218748
3,Anoka County,50,2012,ACS 2008-2012,American Community Survey 5Yr Summary File 2008-2012,POPEDULEV,Highest Level of Education Attained,BACHELORS,Bachelor degree,Population 25 years and over,40947,218748
3,Anoka County,50,2012,ACS 2008-2012,American Community Survey 5Yr Summary File 2008-2012,POPEDULEV,Highest Level of Education Attained,GRADPROF,Graduate/professional degree,Population 25 years and over,16279,218748
3,Anoka County,50,2013,ACS 2011-2013,American Community Survey 3Yr Summary File 2011-2013,POPEDULEV,Highest Level of Education Attained,LESSHS,Did not graduate high school,Population 25 years and over,15826,224697
3,Anoka County,50,2013,ACS 2011-2013,American Community Survey 3Yr Summary File 2011-2013,POPEDULEV,Highest Level of Education Attained,HIGHSCHOOL,High school graduate,Population 25 years and over,65992,224697
3,Anoka County,50,2013,ACS 2011-2013,American Community Survey 3Yr Summary File 2011-2013,POPEDULEV,Highest Level of Education Attained,SOMECOLLEGE,"Some college, no degree",Population 25 years and over,57705,224697
3,Anoka County,50,2013,ACS 2011-2013,American Community Survey 3Yr Summary File 2011-2013,POPEDULEV,Highest Level of Education Attained,ASSOCIATE,Associate degree,Population 25 years and over,25316,224697
3,Anoka County,50,2013,ACS 2011-2013,American Community Survey 3Yr Summary File 2011-2013,POPEDULEV,Highest Level of Education Attained,BACHELORS,Bachelor degree,Population 25 years and over,42774,224697
3,Anoka County,50,2013,ACS 2011-2013,American Community Survey 3Yr Summary File 2011-2013,POPEDULEV,Highest Level of Education Attained,GRADPROF,Graduate/professional degree,Population 25 years and over,17084,224697
3,Anoka County,50,2013,ACS 2009-2013,American Community Survey 5Yr Summary File 2009-2013,POPEDULEV,Highest Level of Education Attained,LESSHS,Did not graduate high school,Population 25 years and over,14958,221709
3,Anoka County,50,2013,ACS 2009-2013,American Community Survey 5Yr Summary File 2009-2013,POPEDULEV,Highest Level of Education Attained,HIGHSCHOOL,High school graduate,Population 25 years and over,64992,221709
3,Anoka County,50,2013,ACS 2009-2013,American Community Survey 5Yr Summary File 2009-2013,POPEDULEV,Highest Level of Education Attained,SOMECOLLEGE,"Some college, no degree",Population 25 years and over,56433,221709
3,Anoka County,50,2013,ACS 2009-2013,American Community Survey 5Yr Summary File 2009-2013,POPEDULEV,Highest Level of Education Attained,ASSOCIATE,Associate degree,Population 25 years and over,25692,221709
3,Anoka County,50,2013,ACS 2009-2013,American Community Survey 5Yr Summary File 2009-2013,POPEDULEV,Highest Level of Education Attained,BACHELORS,Bachelor degree,Population 25 years and over,42408,221709
3,Anoka County,50,2013,ACS 2009-2013,American Community Survey 5Yr Summary File 2009-2013,POPEDULEV,Highest Level of Education Attained,GRADPROF,Graduate/professional degree,Population 25 years and over,17226,221709
3,Anoka County,50,2014,ACS 2010-2014,American Community Survey 5Yr Summary File 2010-2014,POPEDULEV,Highest Level of Education Attained,LESSHS,Did not graduate high school,Population 25 years and over,14860,224628
3,Anoka County,50,2014,ACS 2010-2014,American Community Survey 5Yr Summary File 2010-2014,POPEDULEV,Highest Level of Education Attained,HIGHSCHOOL,High school graduate,Population 25 years and over,64700,224628
3,Anoka County,50,2014,ACS 2010-2014,American Community Survey 5Yr Summary File 2010-2014,POPEDULEV,Highest Level of Education Attained,SOMECOLLEGE,"Some college, no degree",Population 25 years and over,56683,224628
3,Anoka County,50,2014,ACS 2010-2014,American Community Survey 5Yr Summary File 2010-2014,POPEDULEV,Highest Level of Education Attained,ASSOCIATE,Associate degree,Population 25 years and over,27081,224628
3,Anoka County,50,2014,ACS 2010-2014,American Community Survey 5Yr Summary File 2010-2014,POPEDULEV,Highest Level of Education Attained,BACHELORS,Bachelor degree,Population 25 years and over,43908,224628
3,Anoka County,50,2014,ACS 2010-2014,American Community Survey 5Yr Summary File 2010-2014,POPEDULEV,Highest Level of Education Attained,GRADPROF,Graduate/professional degree,Population 25 years and over,17396,224628
3,Anoka County,50,2015,ACS 2011-2015,American Community Survey 5Yr Summary File 2011-2015,POPEDULEV,Highest Level of Education Attained,LESSHS,Did not graduate high school,Population 25 years and over,15304,227438
3,Anoka County,50,2015,ACS 2011-2015,American Community Survey 5Yr Summary File 2011-2015,POPEDULEV,Highest Level of Education Attained,HIGHSCHOOL,High school graduate,Population 25 years and over,64501,227438
3,Anoka County,50,2015,ACS 2011-2015,American Community Survey 5Yr Summary File 2011-2015,POPEDULEV,Highest Level of Education Attained,SOMECOLLEGE,"Some college, no degree",Population 25 years and over,56423,227438
3,Anoka County,50,2015,ACS 2011-2015,American Community Survey 5Yr Summary File 2011-2015,POPEDULEV,Highest Level of Education Attained,ASSOCIATE,Associate degree,Population 25 years and over,27895,227438
3,Anoka County,50,2015,ACS 2011-2015,American Community Survey 5Yr Summary File 2011-2015,POPEDULEV,Highest Level of Education Attained,BACHELORS,Bachelor degree,Population 25 years and over,45505,227438
3,Anoka County,50,2015,ACS 2011-2015,American Community Survey 5Yr Summary File 2011-2015,POPEDULEV,Highest Level of Education Attained,GRADPROF,Graduate/professional degree,Population 25 years and over,17810,227438
19,Carver County,50,2010,ACS 2008-2010,American Community Survey 3Yr Summary File 2008-2010,POPEDULEV,Highest Level of Education Attained,LESSHS,Did not graduate high school,Population 25 years and over,2621,57082
19,Carver County,50,2010,ACS 2008-2010,American Community Survey 3Yr Summary File 2008-2010,POPEDULEV,Highest Level of Education Attained,HIGHSCHOOL,High school graduate,Population 25 years and over,12746,57082
19,Carver County,50,2010,ACS 2008-2010,American Community Survey 3Yr Summary File 2008-2010,POPEDULEV,Highest Level of Education Attained,SOMECOLLEGE,"Some college, no degree",Population 25 years and over,11351,57082
19,Carver County,50,2010,ACS 2008-2010,American Community Survey 3Yr Summary File 2008-2010,POPEDULEV,Highest Level of Education Attained,ASSOCIATE,Associate degree,Population 25 years and over,5721,57082
19,Carver County,50,2010,ACS 2008-2010,American Community Survey 3Yr Summary File 2008-2010,POPEDULEV,Highest Level of Education Attained,BACHELORS,Bachelor degree,Population 25 years and over,17550,57082
19,Carver County,50,2010,ACS 2008-2010,American Community Survey 3Yr Summary File 2008-2010,POPEDULEV,Highest Level of Education Attained,GRADPROF,Graduate/professional degree,Population 25 years and over,7093,57082
19,Carver County,50,2010,ACS 2006-2010,American Community Survey 5Yr Summary File 2006-2010,POPEDULEV,Highest Level of Education Attained,LESSHS,Did not graduate high school,Population 25 years and over,2931,55940
19,Carver County,50,2010,ACS 2006-2010,American Community Survey 5Yr Summary File 2006-2010,POPEDULEV,Highest Level of Education Attained,HIGHSCHOOL,High school graduate,Population 25 years and over,12316,55940
19,Carver County,50,2010,ACS 2006-2010,American Community Survey 5Yr Summary File 2006-2010,POPEDULEV,Highest Level of Education Attained,SOMECOLLEGE,"Some college, no degree",Population 25 years and over,11196,55940
19,Carver County,50,2010,ACS 2006-2010,American Community Survey 5Yr Summary File 2006-2010,POPEDULEV,Highest Level of Education Attained,ASSOCIATE,Associate degree,Population 25 years and over,5623,55940
19,Carver County,50,2010,ACS 2006-2010,American Community Survey 5Yr Summary File 2006-2010,POPEDULEV,Highest Level of Education Attained,BACHELORS,Bachelor degree,Population 25 years and over,16937,55940
19,Carver County,50,2010,ACS 2006-2010,American Community Survey 5Yr Summary File 2006-2010,POPEDULEV,Highest Level of Education Attained,GRADPROF,Graduate/professional degree,Population 25 years and over,6937,55940
19,Carver County,50,2011,ACS 2009-2011,American Community Survey 3Yr Summary File 2009-2011,POPEDULEV,Highest Level of Education Attained,LESSHS,Did not graduate high school,Population 25 years and over,2563,58210
19,Carver County,50,2011,ACS 2009-2011,American Community Survey 3Yr Summary File 2009-2011,POPEDULEV,Highest Level of Education Attained,HIGHSCHOOL,High school graduate,Population 25 years and over,12855,58210
19,Carver County,50,2011,ACS 2009-2011,American Community Survey 3Yr Summary File 2009-2011,POPEDULEV,Highest Level of Education Attained,SOMECOLLEGE,"Some college, no degree",Population 25 years and over,11395,58210
19,Carver County,50,2011,ACS 2009-2011,American Community Survey 3Yr Summary File 2009-2011,POPEDULEV,Highest Level of Education Attained,ASSOCIATE,Associate degree,Population 25 years and over,5680,58210
19,Carver County,50,2011,ACS 2009-2011,American Community Survey 3Yr Summary File 2009-2011,POPEDULEV,Highest Level of Education Attained,BACHELORS,Bachelor degree,Population 25 years and over,18255,58210
19,Carver County,50,2011,ACS 2009-2011,American Community Survey 3Yr Summary File 2009-2011,POPEDULEV,Highest Level of Education Attained,GRADPROF,Graduate/professional degree,Population 25 years and over,7462,58210
19,Carver County,50,2011,ACS 2007-2011,American Community Survey 5Yr Summary File 2007-2011,POPEDULEV,Highest Level of Education Attained,LESSHS,Did not graduate high school,Population 25 years and over,3024,57015
19,Carver County,50,2011,ACS 2007-2011,American Community Survey 5Yr Summary File 2007-2011,POPEDULEV,Highest Level of Education Attained,HIGHSCHOOL,High school graduate,Population 25 years and over,12372,57015
19,Carver County,50,2011,ACS 2007-2011,American Community Survey 5Yr Summary File 2007-2011,POPEDULEV,Highest Level of Education Attained,SOMECOLLEGE,"Some college, no degree",Population 25 years and over,11362,57015
19,Carver County,50,2011,ACS 2007-2011,American Community Survey 5Yr Summary File 2007-2011,POPEDULEV,Highest Level of Education Attained,ASSOCIATE,Associate degree,Population 25 years and over,5776,57015
19,Carver County,50,2011,ACS 2007-2011,American Community Survey 5Yr Summary File 2007-2011,POPEDULEV,Highest Level of Education Attained,BACHELORS,Bachelor degree,Population 25 years and over,17242,57015
19,Carver County,50,2011,ACS 2007-2011,American Community Survey 5Yr Summary File 2007-2011,POPEDULEV,Highest Level of Education Attained,GRADPROF,Graduate/professional degree,Population 25 years and over,7239,57015
19,Carver County,50,2012,ACS 2010-2012,American Community Survey 3Yr Summary File 2010-2012,POPEDULEV,Highest Level of Education Attained,LESSHS,Did not graduate high school,Population 25 years and over,2699,59292
19,Carver County,50,2012,ACS 2010-2012,American Community Survey 3Yr Summary File 2010-2012,POPEDULEV,Highest Level of Education Attained,HIGHSCHOOL,High school graduate,Population 25 years and over,12778,59292
19,Carver County,50,2012,ACS 2010-2012,American Community Survey 3Yr Summary File 2010-2012,POPEDULEV,Highest Level of Education Attained,SOMECOLLEGE,"Some college, no degree",Population 25 years and over,11803,59292
19,Carver County,50,2012,ACS 2010-2012,American Community Survey 3Yr Summary File 2010-2012,POPEDULEV,Highest Level of Education Attained,ASSOCIATE,Associate degree,Population 25 years and over,6093,59292
19,Carver County,50,2012,ACS 2010-2012,American Community Survey 3Yr Summary File 2010-2012,POPEDULEV,Highest Level of Education Attained,BACHELORS,Bachelor degree,Population 25 years and over,18538,59292
19,Carver County,50,2012,ACS 2010-2012,American Community Survey 3Yr Summary File 2010-2012,POPEDULEV,Highest Level of Education Attained,GRADPROF,Graduate/professional degree,Population 25 years and over,7381,59292
19,Carver County,50,2012,ACS 2008-2012,American Community Survey 5Yr Summary File 2008-2012,POPEDULEV,Highest Level of Education Attained,LESSHS,Did not graduate high school,Population 25 years and over,2750,58109
19,Carver County,50,2012,ACS 2008-2012,American Community Survey 5Yr Summary File 2008-2012,POPEDULEV,Highest Level of Education Attained,HIGHSCHOOL,High school graduate,Population 25 years and over,12823,58109
19,Carver County,50,2012,ACS 2008-2012,American Community Survey 5Yr Summary File 2008-2012,POPEDULEV,Highest Level of Education Attained,SOMECOLLEGE,"Some college, no degree",Population 25 years and over,11519,58109
19,Carver County,50,2012,ACS 2008-2012,American Community Survey 5Yr Summary File 2008-2012,POPEDULEV,Highest Level of Education Attained,ASSOCIATE,Associate degree,Population 25 years and over,5754,58109
19,Carver County,50,2012,ACS 2008-2012,American Community Survey 5Yr Summary File 2008-2012,POPEDULEV,Highest Level of Education Attained,BACHELORS,Bachelor degree,Population 25 years and over,17916,58109
19,Carver County,50,2012,ACS 2008-2012,American Community Survey 5Yr Summary File 2008-2012,POPEDULEV,Highest Level of Education Attained,GRADPROF,Graduate/professional degree,Population 25 years and over,7347,58109
19,Carver County,50,2013,ACS 2011-2013,American Community Survey 3Yr Summary File 2011-2013,POPEDULEV,Highest Level of Education Attained,LESSHS,Did not graduate high school,Population 25 years and over,2790,60066
19,Carver County,50,2013,ACS 2011-2013,American Community Survey 3Yr Summary File 2011-2013,POPEDULEV,Highest Level of Education Attained,HIGHSCHOOL,High school graduate,Population 25 years and over,12912,60066
19,Carver County,50,2013,ACS 2011-2013,American Community Survey 3Yr Summary File 2011-2013,POPEDULEV,Highest Level of Education Attained,SOMECOLLEGE,"Some college, no degree",Population 25 years and over,11372,60066
19,Carver County,50,2013,ACS 2011-2013,American Community Survey 3Yr Summary File 2011-2013,POPEDULEV,Highest Level of Education Attained,ASSOCIATE,Associate degree,Population 25 years and over,5925,60066
19,Carver County,50,2013,ACS 2011-2013,American Community Survey 3Yr Summary File 2011-2013,POPEDULEV,Highest Level of Education Attained,BACHELORS,Bachelor degree,Population 25 years and over,19452,60066
19,Carver County,50,2013,ACS 2011-2013,American Community Survey 3Yr Summary File 2011-2013,POPEDULEV,Highest Level of Education Attained,GRADPROF,Graduate/professional degree,Population 25 years and over,7615,60066
19,Carver County,50,2013,ACS 2009-2013,American Community Survey 5Yr Summary File 2009-2013,POPEDULEV,Highest Level of Education Attained,LESSHS,Did not graduate high school,Population 25 years and over,2671,59103
19,Carver County,50,2013,ACS 2009-2013,American Community Survey 5Yr Summary File 2009-2013,POPEDULEV,Highest Level of Education Attained,HIGHSCHOOL,High school graduate,Population 25 years and over,12818,59103
19,Carver County,50,2013,ACS 2009-2013,American Community Survey 5Yr Summary File 2009-2013,POPEDULEV,Highest Level of Education Attained,SOMECOLLEGE,"Some college, no degree",Population 25 years and over,11530,59103
19,Carver County,50,2013,ACS 2009-2013,American Community Survey 5Yr Summary File 2009-2013,POPEDULEV,Highest Level of Education Attained,ASSOCIATE,Associate degree,Population 25 years and over,5807,59103
19,Carver County,50,2013,ACS 2009-2013,American Community Survey 5Yr Summary File 2009-2013,POPEDULEV,Highest Level of Education Attained,BACHELORS,Bachelor degree,Population 25 years and over,18869,59103
19,Carver County,50,2013,ACS 2009-2013,American Community Survey 5Yr Summary File 2009-2013,POPEDULEV,Highest Level of Education Attained,GRADPROF,Graduate/professional degree,Population 25 years and over,7408,59103
19,Carver County,50,2014,ACS 2010-2014,American Community Survey 5Yr Summary File 2010-2014,POPEDULEV,Highest Level of Education Attained,LESSHS,Did not graduate high school,Population 25 years and over,2730,60296
19,Carver County,50,2014,ACS 2010-2014,American Community Survey 5Yr Summary File 2010-2014,POPEDULEV,Highest Level of Education Attained,HIGHSCHOOL,High school graduate,Population 25 years and over,12777,60296
19,Carver County,50,2014,ACS 2010-2014,American Community Survey 5Yr Summary File 2010-2014,POPEDULEV,Highest Level of Education Attained,SOMECOLLEGE,"Some college, no degree",Population 25 years and over,11526,60296
19,Carver County,50,2014,ACS 2010-2014,American Community Survey 5Yr Summary File 2010-2014,POPEDULEV,Highest Level of Education Attained,ASSOCIATE,Associate degree,Population 25 years and over,6106,60296
19,Carver County,50,2014,ACS 2010-2014,American Community Survey 5Yr Summary File 2010-2014,POPEDULEV,Highest Level of Education Attained,BACHELORS,Bachelor degree,Population 25 years and over,19398,60296
19,Carver County,50,2014,ACS 2010-2014,American Community Survey 5Yr Summary File 2010-2014,POPEDULEV,Highest Level of Education Attained,GRADPROF,Graduate/professional degree,Population 25 years and over,7759,60296
19,Carver County,50,2015,ACS 2011-2015,American Community Survey 5Yr Summary File 2011-2015,POPEDULEV,Highest Level of Education Attained,LESSHS,Did not graduate high school,Population 25 years and over,2961,61321
19,Carver County,50,2015,ACS 2011-2015,American Community Survey 5Yr Summary File 2011-2015,POPEDULEV,Highest Level of Education Attained,HIGHSCHOOL,High school graduate,Population 25 years and over,13030,61321
19,Carver County,50,2015,ACS 2011-2015,American Community Survey 5Yr Summary File 2011-2015,POPEDULEV,Highest Level of Education Attained,SOMECOLLEGE,"Some college, no degree",Population 25 years and over,11361,61321
19,Carver County,50,2015,ACS 2011-2015,American Community Survey 5Yr Summary File 2011-2015,POPEDULEV,Highest Level of Education Attained,ASSOCIATE,Associate degree,Population 25 years and over,6236,61321
19,Carver County,50,2015,ACS 2011-2015,American Community Survey 5Yr Summary File 2011-2015,POPEDULEV,Highest Level of Education Attained,BACHELORS,Bachelor degree,Population 25 years and over,19613,61321
19,Carver County,50,2015,ACS 2011-2015,American Community Survey 5Yr Summary File 2011-2015,POPEDULEV,Highest Level of Education Attained,GRADPROF,Graduate/professional degree,Population 25 years and over,8120,61321
37,Dakota County,50,2010,ACS 2008-2010,American Community Survey 3Yr Summary File 2008-2010,POPEDULEV,Highest Level of Education Attained,LESSHS,Did not graduate high school,Population 25 years and over,14691,260122
37,Dakota County,50,2010,ACS 2008-2010,American Community Survey 3Yr Summary File 2008-2010,POPEDULEV,Highest Level of Education Attained,HIGHSCHOOL,High school graduate,Population 25 years and over,59892,260122
37,Dakota County,50,2010,ACS 2008-2010,American Community Survey 3Yr Summary File 2008-2010,POPEDULEV,Highest Level of Education Attained,SOMECOLLEGE,"Some college, no degree",Population 25 years and over,59481,260122
37,Dakota County,50,2010,ACS 2008-2010,American Community Survey 3Yr Summary File 2008-2010,POPEDULEV,Highest Level of Education Attained,ASSOCIATE,Associate degree,Population 25 years and over,26751,260122
37,Dakota County,50,2010,ACS 2008-2010,American Community Survey 3Yr Summary File 2008-2010,POPEDULEV,Highest Level of Education Attained,BACHELORS,Bachelor degree,Population 25 years and over,69140,260122
37,Dakota County,50,2010,ACS 2008-2010,American Community Survey 3Yr Summary File 2008-2010,POPEDULEV,Highest Level of Education Attained,GRADPROF,Graduate/professional degree,Population 25 years and over,30167,260122
37,Dakota County,50,2010,ACS 2006-2010,American Community Survey 5Yr Summary File 2006-2010,POPEDULEV,Highest Level of Education Attained,LESSHS,Did not graduate high school,Population 25 years and over,14280,256491
37,Dakota County,50,2010,ACS 2006-2010,American Community Survey 5Yr Summary File 2006-2010,POPEDULEV,Highest Level of Education Attained,HIGHSCHOOL,High school graduate,Population 25 years and over,59441,256491
37,Dakota County,50,2010,ACS 2006-2010,American Community Survey 5Yr Summary File 2006-2010,POPEDULEV,Highest Level of Education Attained,SOMECOLLEGE,"Some college, no degree",Population 25 years and over,58531,256491
37,Dakota County,50,2010,ACS 2006-2010,American Community Survey 5Yr Summary File 2006-2010,POPEDULEV,Highest Level of Education Attained,ASSOCIATE,Associate degree,Population 25 years and over,26426,256491
37,Dakota County,50,2010,ACS 2006-2010,American Community Survey 5Yr Summary File 2006-2010,POPEDULEV,Highest Level of Education Attained,BACHELORS,Bachelor degree,Population 25 years and over,69085,256491
37,Dakota County,50,2010,ACS 2006-2010,American Community Survey 5Yr Summary File 2006-2010,POPEDULEV,Highest Level of Education Attained,GRADPROF,Graduate/professional degree,Population 25 years and over,28728,256491
37,Dakota County,50,2011,ACS 2009-2011,American Community Survey 3Yr Summary File 2009-2011,POPEDULEV,Highest Level of Education Attained,LESSHS,Did not graduate high school,Population 25 years and over,13948,263555
37,Dakota County,50,2011,ACS 2009-2011,American Community Survey 3Yr Summary File 2009-2011,POPEDULEV,Highest Level of Education Attained,HIGHSCHOOL,High school graduate,Population 25 years and over,60542,263555
37,Dakota County,50,2011,ACS 2009-2011,American Community Survey 3Yr Summary File 2009-2011,POPEDULEV,Highest Level of Education Attained,SOMECOLLEGE,"Some college, no degree",Population 25 years and over,60731,263555
37,Dakota County,50,2011,ACS 2009-2011,American Community Survey 3Yr Summary File 2009-2011,POPEDULEV,Highest Level of Education Attained,ASSOCIATE,Associate degree,Population 25 years and over,28125,263555
37,Dakota County,50,2011,ACS 2009-2011,American Community Survey 3Yr Summary File 2009-2011,POPEDULEV,Highest Level of Education Attained,BACHELORS,Bachelor degree,Population 25 years and over,68776,263555
37,Dakota County,50,2011,ACS 2009-2011,American Community Survey 3Yr Summary File 2009-2011,POPEDULEV,Highest Level of Education Attained,GRADPROF,Graduate/professional degree,Population 25 years and over,31433,263555
37,Dakota County,50,2011,ACS 2007-2011,American Community Survey 5Yr Summary File 2007-2011,POPEDULEV,Highest Level of Education Attained,LESSHS,Did not graduate high school,Population 25 years and over,14183,260192
37,Dakota County,50,2011,ACS 2007-2011,American Community Survey 5Yr Summary File 2007-2011,POPEDULEV,Highest Level of Education Attained,HIGHSCHOOL,High school graduate,Population 25 years and over,59737,260192
37,Dakota County,50,2011,ACS 2007-2011,American Community Survey 5Yr Summary File 2007-2011,POPEDULEV,Highest Level of Education Attained,SOMECOLLEGE,"Some college, no degree",Population 25 years and over,58956,260192
37,Dakota County,50,2011,ACS 2007-2011,American Community Survey 5Yr Summary File 2007-2011,POPEDULEV,Highest Level of Education Attained,ASSOCIATE,Associate degree,Population 25 years and over,27488,260192
